"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","387.0957650540111","509.9604982729295","4.655632709479133","-0.3110632460863657","0.00537109375","0.00341796875","0.00732421875","1244.4444444444443","0.00010215448200637764","0","0.00010215448200637764","0.00010215448200637764","0_14:0.005309889483728569;0_1:0.004571923532744271","0_14:561.7777777777777;0_1:561.7777777777777","true"
"1","441.54094855228414","366.7014803618584","4.534957620972952","-0.31302980539784336","0.00537109375","0.00341796875","0.00732421875","1244.4444444444443","0.00015181748103094782","0","0.00015181748103094782","0.00015181748103094782","1_2:0.005949282372528564","1_2:561.7777777777777","true"
"2","292.58527053646503","125.07568345291821","4.680116008124425","-0.3092563684570482","0.0078125","0.00634765625","0.00927734375","1244.4444444444443","0.00008689359235054551","0","0.00008689359235054551","0.00008689359235054551","2_3:0.007284470765697604","2_3:583.1111111111111","true"
"3","352.2747461412266","153.10909791860936","4.606650686945051","-0.25135835423971303","0.0048828125","0.00634765625","0.00341796875","1244.4444444444443","0.0003184167748987388","0","0.0003184167748987388","0.0003184167748987388","","","true"
"4","593.8604217947434","87.2352567424569","4.4623219160240275","-0.25507850560311957","0.09375","0.07568359375","0.11181640625","1244.4444444444443","0.0007516614821645637","0","0.0007516614821645637","0.0007516614821645637","4_15:0.01199117180717768;4_3:0.017920712117469095","4_15:583.1111111111111;4_3:561.7777777777777","true"
"5","317.4612105527108","339.5184829207547","4.42667894294711","-0.2804432142711162","0.0546875","0.04638671875","0.06298828125","1244.4444444444443","0.0006688406563608635","0","0.0006688406563608635","0.0006688406563608635","5_4:0.010463613322596765","5_4:561.7777777777777","true"
"6","367.71600434504404","165.9390973125965","4.640084739425212","-0.3108103399516748","0.022216796875","0.0244140625","0.02001953125","1244.4444444444443","0.00009852004649779173","0","0.00009852004649779173","0.00009852004649779173","6_5:0.00755504320787137","6_5:583.1111111111111","true"
"7","269.07487312958494","314.5911138596881","4.475705011177965","-0.2813271220492828","0.00927734375","0.01220703125","0.00634765625","1244.4444444444443","0.0001661476946864323","0","0.0001661476946864323","0.0001661476946864323","7_6:0.014774320558551657;7_8:0.15958438537551273","7_6:561.7777777777777;7_8:561.7777777777777","true"
"8","423.20033408167046","272.63386193450685","4.401856961671261","-0.25507427876459826","0.140869140625","0.23486328125","0.046875","1244.4444444444443","0.11744592854857272","0","0.11744592854857272","0.11744592854857272","8_9:1","8_9:561.7777777777777","true"
"9","560.5887041369862","298.3920084725835","4.519013648541359","-0.29730654926594685","0.0380859375","0.03662109375","0.03955078125","1244.4444444444443","0.00018774199531923955","0","0.00018774199531923955","0.00018774199531923955","","","true"
"10","103.43802698794674","62.16958846384672","4.62835391733733","","0.030029296875","0.0390625","0.02099609375","1244.4444444444443","0.0007744195555633409","0","0.0007744195555633409","0.0007744195555633409","10_9:0.032231513617837826;10_11:0.03052808911686944","10_9:583.1111111111111;10_11:561.7777777777777","true"
"11","243.07796757843082","289.4637255971279","4.571495803615847","-0.31187801080194943","0.013671875","0.017578125","0.009765625","1244.4444444444443","0.0016116104750958239","0","0.0016116104750958239","0.0016116104750958239","11_12:0.011288767105321784","11_12:583.1111111111111","true"
"12","465.6192542868264","304.8889298353347","4.464322709518263","-0.3114335997689411","0.035400390625","0.029296875","0.04150390625","1244.4444444444443","0.0001806815931608524","0","0.0001806815931608524","0.0001806815931608524","","","true"
"13","237.46210064221594","71.24860410353567","4.573364408487432","","0.0234375","0.02734375","0.01953125","1244.4444444444443","0.001239191058177969","0","0.001239191058177969","0.001239191058177969","13_12:0.009523154919719723","13_12:561.7777777777777","true"
"14","343.4688746279899","256.1852463510926","4.603986260775801","-0.3075149117337717","0.005859375","0.00732421875","0.00439453125","1244.4444444444443","0.00013701572482517779","0","0.00013701572482517779","0.00013701572482517779","14_18:0.00429151156853641","14_18:583.1111111111111","true"
"15","380.5148007759491","69.96347994316758","4.496037463648851","-0.3235838974181829","0.02001953125","0.01025390625","0.02978515625","1244.4444444444443","0.0005504237966147676","0","0.0005504237966147676","0.0005504237966147676","","","true"
"16","461.02075975927534","127.64841827615314","4.513217187537774","-0.31250997509736017","0.04345703125","0.01171875","0.0751953125","1244.4444444444443","0.0001234209648175765","0","0.0001234209648175765","0.0001234209648175765","16_8:0.08761164884321904","16_8:583.1111111111111","true"
"17","325.2092350147313","53.75438261800131","4.675795001858629","-0.3222371456169295","0.025146484375","0.02734375","0.02294921875","1244.4444444444443","0.0005735248036808401","0","0.0005735248036808401","0.0005735248036808401","17_12:0.014580126003337912;17_30:0.018047823476674663","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","401.4612703308863","49.22915021978618","4.514795127872647","-0.32147907217387134","0.008544921875","0.00830078125","0.0087890625","1244.4444444444443","0.0001178174920329795","0","0.0001178174920329795","0.0001178174920329795","","","true"
"19","486.21360686923737","229.61288606184632","4.444140137232313","-0.3142519677447134","0.0341796875","0.03076171875","0.03759765625","1244.4444444444443","0.00019534461647274077","0","0.00019534461647274077","0.00019534461647274077","19_18:0.005405463305362512","19_18:561.7777777777777","true"
"20","403.1436059536456","356.6605999613474","4.341296499383304","-0.31659680563840864","0.12451171875","0.1875","0.0615234375","1244.4444444444443","0.0002082207953331994","0","0.0002082207953331994","0.0002082207953331994","20_19:0.005613051577523953","20_19:583.1111111111111","true"
"21","187.4002261208863","12.500219101417493","4.48525396049579","-0.3137510643214938","0.012451171875","0.0068359375","0.01806640625","1244.4444444444443","0.005620139076953892","0","0.005620139076953892","0.005620139076953892","21_20:0.026012914391934483;21_22:0.018442787612129252","21_20:561.7777777777777;21_22:583.1111111111111","true"
"22","417.522625226824","49.36687305604556","4.382948901660354","-0.3235699465364606","0.016357421875","0.01708984375","0.015625","1244.4444444444443","0.0001473796070718012","0","0.0001473796070718012","0.0001473796070718012","22_23:0.008510341901404372;22_15:0.016272367450377245","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","359.1347811445028","213.4933370699565","4.531765406901072","-0.34910557092715694","0.02099609375","0.0205078125","0.021484375","1244.4444444444443","0.0001022156889847537","0","0.0001022156889847537","0.0001022156889847537","23_24:0.014936835901765255","23_24:561.7777777777777","true"
"24","347.3855206215828","68.84314104297447","4.646167899813998","-0.3098937587669715","0.01953125","0.01513671875","0.02392578125","1244.4444444444443","0.0002079314331346225","0","0.0002079314331346225","0.0002079314331346225","24_25:0.010726685501980027","24_25:561.7777777777777","true"
"25","232.31795065791053","290.70959348739024","4.70218325577393","-0.3104687819443247","0.009033203125","0.0087890625","0.00927734375","1244.4444444444443","0.00012051293351085453","0","0.00012051293351085453","0.00012051293351085453","","","true"
"26","251.4847973206823","84.62435120590372","4.648814745942064","","0.01513671875","0.0146484375","0.015625","1244.4444444444443","0.0006275144564344278","0","0.0006275144564344278","0.0006275144564344278","26_16:0.015015165832192479;26_25:0.01078288165953789;26_27:0.01737036125692437","26_16:561.7777777777777;26_25:561.7777777777777;26_27:583.1111111111111","true"
"27","332.557869074629","86.82083227264374","4.609983815580501","-0.2878947957747321","0.064208984375","0.03076171875","0.09765625","1244.4444444444443","0.00023935168706962768","0","0.00023935168706962768","0.00023935168706962768","","","true"
"28","153.87905794195615","11.57974620414528","4.51688792328391","-0.31512500613226163","0.01904296875","0.01806640625","0.02001953125","1244.4444444444443","0.00023894714410909772","0","0.00023894714410909772","0.00023894714410909772","28_27:0.00975933610035351","28_27:561.7777777777777","true"
"29","452.7435172660242","211.16387423736646","4.460017466385853","-0.3164470706353105","0.013427734375","0.02001953125","0.0068359375","1244.4444444444443","0.00011429936530913755","0","0.00011429936530913755","0.00011429936530913755","29_28:0.006815508249455482;29_30:0.015126752200753046","29_28:561.7777777777777;29_30:561.7777777777777","true"
"30","261.38301339728554","116.52220789016647","4.6461904401454905","-0.2835614267270895","0.078857421875","0.07080078125","0.0869140625","1244.4444444444443","0.0014431448955057556","0","0.0014431448955057556","0.0014431448955057556","","","true"
"31","230.38254585208665","148.0218976431627","4.613002204443628","-0.3112675880038357","0.006591796875","0.0107421875","0.00244140625","1244.4444444444443","0.00044616652786964796","0","0.00044616652786964796","0.00044616652786964796","31_30:0.011920281879900962;31_32:0.012011372621398564","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","287.24343246549114","101.68330595841005","4.499282551967705","-0.3128171150093984","0.015625","0.01513671875","0.01611328125","1244.4444444444443","0.00017850238529282326","0","0.00017850238529282326","0.00017850238529282326","","","true"
"33","467.360379301029","245.41511680564136","4.596931337315841","","0.002197265625","0.0009765625","0.00341796875","1244.4444444444443","0.00010908359771162335","0","0.00010908359771162335","0.00010908359771162335","33_20:0.007931799103301218;33_39:0.014673628676905581","33_20:561.7777777777777;33_39:561.7777777777777","true"
