"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","398.9884505790462","400.3319272268721","4.655635036815407","-0.3110632460863657","0.007080078125","0.00634765625","0.0078125","1244.4444444444443","0.00010484854876061445","0","0.00010484854876061445","0.00010484854876061445","0_14:0.006280559683150666;0_1:0.003946778189551858","0_14:561.7777777777777;0_1:561.7777777777777","true"
"1","414.9964419675959","180.33853218974343","4.534963562503186","-0.31302980539784336","0.009521484375","0.0078125","0.01123046875","1244.4444444444443","0.00009828908854532474","0","0.00009828908854532474","0.00009828908854532474","1_2:0.013470305507750857","1_2:561.7777777777777","true"
"2","261.7249125892175","112.35330082896779","4.680131683343861","-0.3092563684570482","0.011962890625","0.01318359375","0.0107421875","1244.4444444444443","0.0005987368452499437","0","0.0005987368452499437","0.0005987368452499437","2_3:0.01375449643358212","2_3:583.1111111111111","true"
"3","450.8009354575516","142.13468228326232","4.606647031251809","-0.25135835423971303","0.008544921875","0.01220703125","0.0048828125","1244.4444444444443","0.00010699361925106014","0","0.00010699361925106014","0.00010699361925106014","","","true"
"4","541.8192633031138","109.19189772984123","4.4622963730133565","-0.25507850560311957","0.082275390625","0.06396484375","0.1005859375","1244.4444444444443","0.0006401875884650996","0","0.0006401875884650996","0.0006401875884650996","4_15:0.010206582251858276;4_3:0.0077946698637935685","4_15:583.1111111111111;4_3:561.7777777777777","true"
"5","357.7278058143951","323.1655385795991","4.426687279864443","-0.2804432142711162","0.01171875","0.01171875","0.01171875","1244.4444444444443","0.00011232090423765714","0","0.00011232090423765714","0.00011232090423765714","5_4:0.0075016407337013535","5_4:561.7777777777777","true"
"6","329.96191158652437","182.48482925617736","4.640088196203129","-0.3108103399516748","0.01123046875","0.00927734375","0.01318359375","1244.4444444444443","0.00010210172512185364","0","0.00010210172512185364","0.00010210172512185364","6_5:0.00560827945517417","6_5:583.1111111111111","true"
"7","506.26146022332597","480.31317716512433","4.475691655514295","-0.2813271220492828","0.004150390625","0.0029296875","0.00537109375","1244.4444444444443","0.0001427126516236174","0","0.0001427126516236174","0.0001427126516236174","7_6:0.010697046317997672;7_8:0.00946841170154289","7_6:561.7777777777777;7_8:561.7777777777777","true"
"8","423.20033408167046","216.93782642894735","4.401835368615054","-0.25507427876459826","0.1630859375","0.27880859375","0.04736328125","1244.4444444444443","0.0003649114092410303","0","0.0003649114092410303","0.0003649114092410303","8_9:0.03297314977095922","8_9:561.7777777777777","true"
"9","256.4490487946477","289.14975578413834","4.5190075144691075","-0.29730654926594685","0.01318359375","0.0107421875","0.015625","1244.4444444444443","0.0001671196697721933","0","0.0001671196697721933","0.0001671196697721933","","","true"
"10","334.6845411013902","94.95036452097118","4.628361254351611","","0.006591796875","0.005859375","0.00732421875","1244.4444444444443","0.0001279896601850669","0","0.0001279896601850669","0.0001279896601850669","10_9:0.008519377752825186;10_11:0.00845195520641523","10_9:583.1111111111111;10_11:561.7777777777777","true"
"11","230.4344575384621","264.8131676107902","4.571523193184328","-0.31187801080194943","0.00341796875","0.00537109375","0.00146484375","1244.4444444444443","0.0002509875174254183","0","0.0002509875174254183","0.0002509875174254183","11_12:0.005015876928476826","11_12:583.1111111111111","true"
"12","498.2848433560381","405.3086912876796","4.464328540599006","-0.3114335997689411","0.017822265625","0.013671875","0.02197265625","1244.4444444444443","0.00013637186541296065","0","0.00013637186541296065","0.00013637186541296065","","","true"
"13","417.3534811478756","86.93260313363842","4.573355257159476","","0.029541015625","0.0234375","0.03564453125","1244.4444444444443","0.00012638615255656087","0","0.00012638615255656087","0.00012638615255656087","13_12:0.0057901698185193196","13_12:561.7777777777777","true"
"14","277.583488690847","282.03001546932694","4.603985693831442","-0.3075149117337717","0.008056640625","0.009765625","0.00634765625","1244.4444444444443","0.00011783393984233786","0","0.00011783393984233786","0.00011783393984233786","14_18:0.004930128169991277","14_18:583.1111111111111","true"
"15","380.5148007759491","62.46289847850154","4.495993803040777","-0.3235838974181829","0.020263671875","0.01318359375","0.02734375","1244.4444444444443","0.00046973622553358156","0","0.00046973622553358156","0.00046973622553358156","","","true"
"16","303.88045958850046","123.58641839559708","4.513222535091959","-0.31250997509736017","0.029052734375","0.02587890625","0.0322265625","1244.4444444444443","0.0002783686417158303","0","0.0002783686417158303","0.0002783686417158303","16_8:0.010688850772953284","16_8:583.1111111111111","true"
"17","413.9342007875416","60.78395945721759","4.675803888502195","-0.3222371456169295","0.075927734375","0.06640625","0.08544921875","1244.4444444444443","0.0007427782828037778","0","0.0007427782828037778","0.0007427782828037778","17_12:0.012281171681152392;17_30:0.09540252160757023","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","285.3684732533807","44.58983709297087","4.514793223206564","-0.32147907217387134","0.0029296875","0.00439453125","0.00146484375","1244.4444444444443","0.0000984237931294612","0","0.0000984237931294612","0.0000984237931294612","","","true"
"19","488.79951425469983","221.48153938997254","4.444139900274534","-0.3142519677447134","0.04052734375","0.0419921875","0.0390625","1244.4444444444443","0.00009223819605706431","0","0.00009223819605706431","0.00009223819605706431","19_18:0.0057446447457960015","19_18:561.7777777777777","true"
"20","360.34947977550024","482.6465799364741","4.341294284551495","-0.31659680563840864","0.049560546875","0.0390625","0.06005859375","1244.4444444444443","0.00015903420370671432","0","0.00015903420370671432","0.00015903420370671432","20_19:0.011693463123615133","20_19:583.1111111111111","true"
"21","369.3529349312595","200.1106980720945","4.485177987864051","-0.3137510643214938","0.009033203125","0.0078125","0.01025390625","1244.4444444444443","0.00016842717763012553","0","0.00016842717763012553","0.00016842717763012553","21_20:0.012024450705782841;21_22:0.013186785130199774","21_20:561.7777777777777;21_22:583.1111111111111","true"
"22","440.8986834521933","77.1937803857095","4.382935449065816","-0.3235699465364606","0.025146484375","0.03662109375","0.013671875","1244.4444444444443","0.0001512307541406237","0","0.0001512307541406237","0.0001512307541406237","22_23:0.010820059034099272;22_15:0.017531299060357275","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","322.8275503373634","127.81081151626151","4.53176426947688","-0.34910557092715694","0.021240234375","0.02880859375","0.013671875","1244.4444444444443","0.0002568055102615044","0","0.0002568055102615044","0.0002568055102615044","23_24:0.043229200554619096","23_24:561.7777777777777","true"
"24","257.3112634878562","65.11439209926844","4.646161100853799","-0.3098937587669715","0.018798828125","0.0166015625","0.02099609375","1244.4444444444443","0.001354868389184858","0","0.001354868389184858","0.001354868389184858","24_25:0.014907424025590144","24_25:561.7777777777777","true"
"25","258.97004371060626","315.6371892078716","4.702185433997621","-0.3104687819443247","0.0146484375","0.017578125","0.01171875","1244.4444444444443","0.0001218219516354777","0","0.0001218219516354777","0.0001218219516354777","","","true"
"26","212.36852406062718","138.44289019346294","4.6488054503237235","","0.015380859375","0.0166015625","0.01416015625","1244.4444444444443","0.00040889359271639215","0","0.00040889359271639215","0.00040889359271639215","26_16:0.011217857887329485;26_25:0.010469657145124267;26_27:0.012498376470469585","26_16:561.7777777777777;26_25:561.7777777777777;26_27:583.1111111111111","true"
"27","332.557869074629","60.643840682808616","4.609982363498774","-0.2878947957747321","0.03759765625","0.02587890625","0.04931640625","1244.4444444444443","0.0003334345139380159","0","0.0003334345139380159","0.0003334345139380159","","","true"
"28","176.5037044467333","12.6806791347787","4.516882134082509","-0.31512500613226163","0.017333984375","0.01513671875","0.01953125","1244.4444444444443","0.00018302359653978966","0","0.00018302359653978966","0.00018302359653978966","28_27:0.013509022388923653","28_27:561.7777777777777","true"
"29","330.6185481899095","266.7387760869949","4.460014556255914","-0.3164470706353105","0.009765625","0.01611328125","0.00341796875","1244.4444444444443","0.00018756466270115183","0","0.00018756466270115183","0.00018756466270115183","29_28:0.006013337210017566;29_30:0.014874713629739023","29_28:561.7777777777777;29_30:561.7777777777777","true"
"30","261.38301339728554","132.5657654930715","4.646436243687236","-0.2835614267270895","0.083740234375","0.06640625","0.10107421875","1244.4444444444443","0.0014471079445402377","0","0.0014471079445402377","0.0014471079445402377","","","true"
"31","328.3054402575481","149.60927895829292","4.613006260600172","-0.3112675880038357","0.01025390625","0.015625","0.0048828125","1244.4444444444443","0.0003917623056970622","0","0.0003917623056970622","0.0003917623056970622","31_30:0.014306588904390183;31_32:0.008571449618339833","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","382.76632509000893","118.10386022943386","4.4992860306306355","-0.3128171150093984","0.074951171875","0.03759765625","0.1123046875","1244.4444444444443","0.00011252350389135763","0","0.00011252350389135763","0.00011252350389135763","","","true"
