"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"10","205.44249792101886","177.53300158751753","0.004150390625","0.0048828125","0.00341796875","1560","0.00025725861374396874","0.00025725861374396874","0","0.00025725861374396874","0.00025725861374396874","10_9:0.002759827005889892;10_11:0.004979047766470512","10_9:1;10_11:0.0045847816446884515","10_9:84;10_11:84","true"
"11","101.75696225480799","76.72359717537185","0.008544921875","0.01318359375","0.00390625","1560","0.0003349924757537383","0.0003349924757537383","0","0.0003349924757537383","0.0003349924757537383","11_18:0.01836854350140593;11_10:0.004979047766470512;11_12:0.0038331587569991887","11_18:0.014804557442110122;11_10:0.0045847816446884515;11_12:0.005828089078683374","11_18:84;11_10:84;11_12:84","true"
"12","56.33847106205719","59.5196571521456","0.020263671875","0.02099609375","0.01953125","1560","0.00027361872181594794","0.00027361872181594794","0","0.00027361872181594794","0.00027361872181594794","12_13:0.0032381172378869727;12_11:0.0038331587569991887","12_13:0.003808855798359073;12_11:0.005828089078683374","12_13:84;12_11:84","true"
"13","226.31435581049976","158.0870876815901","0.015625","0.01220703125","0.01904296875","1560","0.00014500031159017033","0.00014500031159017033","0","0.00014500031159017033","0.00014500031159017033","13_12:0.0032381172378869727;13_14:0.0020806492173409685","13_12:0.003808855798359073;13_14:1","13_12:84;13_14:84","true"
"14","213.69754778632898","78.49146062083143","0.00537109375","0.0078125","0.0029296875","1560","0.000182410752334069","0.000182410752334069","0","0.000182410752334069","0.000182410752334069","14_15:0.002797914356062303;14_13:0.0020806492173409685","14_15:0.004315831073846893;14_13:1","14_15:84;14_13:84","true"
"15","399.7790766231185","161.106207950595","0.018798828125","0.02978515625","0.0078125","1560","0.0002621191068686741","0.0002621191068686741","0","0.0002621191068686741","0.0002621191068686741","15_14:0.002797914356062303;15_19:0.0028548328942319956","15_14:0.004315831073846893;15_19:0.004863002371124275","15_14:84;15_19:84","true"
"16","169.60283500517582","29.52235150732078","0.009521484375","0.0166015625","0.00244140625","1560","0.00041810054111032546","0.00041810054111032546","0","0.00041810054111032546","0.00041810054111032546","16_23:0.0036900479841266987;16_3:0.003952369214112628","16_23:0.005282996476177887;16_3:0.004371987916220427","16_23:84;16_3:84","true"
"17","186.38740109310353","114.647322986866","0.005859375","0.00927734375","0.00244140625","1560","0.00018954980634914274","0.00018954980634914274","0","0.00018954980634914274","0.00018954980634914274","17_7:0.006304149227424616;17_27:0.014304947973108162","17_7:0.006569888978481014;17_27:0.012185436749548445","17_7:84;17_27:84","true"
"18","177.44038807483568","73.03336745254671","0.00537109375","0.00830078125","0.00244140625","1560","0.0004077227547015526","0.0004077227547015526","0","0.0004077227547015526","0.0004077227547015526","18_11:0.01836854350140593;18_31:0.004895868019943794","18_11:0.014804557442110122;18_31:0.00360999380394722","18_11:84;18_31:84","true"
"19","129.60354421009174","125.5298080543307","0.00732421875","0.01123046875","0.00341796875","1560","0.00037625011892005876","0.00037625011892005876","0","0.00037625011892005876","0.00037625011892005876","19_35:0.0035980650023302307;19_15:0.0028548328942319956","19_35:0.002169447425860782;19_15:0.004863002371124275","19_35:84;19_15:84","true"
"20","270.71900631516877","246.22150262216397","0.01025390625","0.01904296875","0.00146484375","1560","0.00021804958739398965","0.00021804958739398965","0","0.00021804958739398965","0.00021804958739398965","20_21:0.008950172201095563","20_21:0.002942105221415081","20_21:84","true"
"21","114.71872849277484","110.15759216041627","0.00927734375","0.015625","0.0029296875","1560","0.00024977885030262847","0.00024977885030262847","0","0.00024977885030262847","0.00024977885030262847","21_36:0.006272276427026713;21_20:0.008950172201095563;21_22:0.002820572597615645","21_36:0.006644408915564587;21_20:0.002942105221415081;21_22:1","21_36:84;21_20:84;21_22:84","true"
"22","184.3600457876993","124.29624217183343","0.00537109375","0.01025390625","0.00048828125","1560","0.0001855648136851691","0.0001855648136851691","0","0.0001855648136851691","0.0001855648136851691","22_23:0.0025485889184634347;22_21:0.002820572597615645","22_23:0.0024540600922504097;22_21:1","22_23:84;22_21:84","true"
