"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"12","492.3789649616338","86.87223090002686","4.66454122896508","-0.31179147161747606","0.024169921875","0.02001953125","0.0283203125","1600","0.00019562544236261854","0","0.00019562544236261854","0.00019562544236261854","12_13:0.007880687227513505;12_17:0.00879810205253373;12_11:0.007591240985144299","12_13:660;12_17:660;12_11:660","true"
"13","530.6706958337347","67.82754280793732","4.54731427187844","-0.31263942489957386","0.1162109375","0.19970703125","0.03271484375","1600","0.00016140639849535277","0","0.00016140639849535277","0.00016140639849535277","","","true"
"14","167.80728845346005","51.801410890478444","4.947073623618488","-0.3068704872695069","0.021484375","0.01611328125","0.02685546875","1600","0.00016194397000040257","0","0.00016194397000040257","0.00016194397000040257","14_18:0.005513020774635113","14_18:660","true"
"15","471.36814887434826","39.387940230499","4.653621216565477","-0.3123903340927562","0.019287109375","0.01806640625","0.0205078125","1600","0.0005128152162953965","0","0.0005128152162953965","0.0005128152162953965","15_4:0.02050071648231616;15_22:0.014431119793401281","15_4:660;15_22:660","true"
"16","625.0459855674699","262.3994928867038","4.606474045261914","-0.3113554066882175","0.010009765625","0.0107421875","0.00927734375","1600","0.00011194423871521743","0","0.00011194423871521743","0.00011194423871521743","","","true"
"17","346.0665096561517","308.3576645478219","4.896837270846918","-0.3069253529005603","0.01123046875","0.00439453125","0.01806640625","1600","0.00011124705244992224","0","0.00011124705244992224","0.00011124705244992224","","","true"
"18","342.8590870718146","341.3809389573204","4.860697701527924","-0.3088715365068852","0.07958984375","0.03564453125","0.12353515625","1600","0.0009666046051843533","0","0.0009666046051843533","0.0009666046051843533","18_19:0.011410645630541227","18_19:372","true"
"19","441.76943667409614","7.061508430252324","4.612682565871318","-0.31243870301434334","0.12353515625","0.08642578125","0.16064453125","1600","0.0005579307828638276","0","0.0005579307828638276","0.0005579307828638276","19_20:0.03508140956446393","19_20:660","true"
"20","230.6259862738301","12.425875509686067","4.850501758611188","-0.30788100126352075","0.11083984375","0.04248046875","0.17919921875","1600","0.0008191398398154325","0","0.0008191398398154325","0.0008191398398154325","20_21:0.026209923096111698","20_21:660","true"
"21","531.0383870080765","19.722620454947428","4.677706381021936","-0.3101214218703803","0.025390625","0.021484375","0.029296875","1600","0.000493347715342895","0","0.000493347715342895","0.000493347715342895","21_22:0.014521388770558863","21_22:660","true"
"22","445.83771372848116","66.46644766275227","4.737267748493527","-0.3122176733536358","0.041748046875","0.01123046875","0.072265625","1600","0.00032044405557041624","0","0.00032044405557041624","0.00032044405557041624","","","true"
"23","490.93935165196234","92.6281650022511","4.651585041579901","","0.4638671875","0.00048828125","0.92724609375","1600","0.0002642770488191447","0","0.0002642770488191447","0.0002642770488191447","23_22:1;23_24:1","23_22:660;23_24:660","true"
"24","342.2403080275193","31.547313369300895","4.855364915925166","-0.3079346223460502","0.02001953125","0.0107421875","0.029296875","1600","0.0005159873218176217","0","0.0005159873218176217","0.0005159873218176217","","","true"
"25","121.57124535904977","15.7003317780907","4.7097138949514825","-0.2848927503604122","0.059814453125","0.0576171875","0.06201171875","1600","0.0025756332008063138","0","0.0025756332008063138","0.0025756332008063138","25_24:0.036505160084735866;25_26:0.023740900384037367","25_24:660;25_26:660","true"
"26","320.058752801735","221.5273941210081","4.7562854149106135","-0.31000973903762974","0.02392578125","0.02099609375","0.02685546875","1600","0.00019955031597545294","0","0.00019955031597545294","0.00019955031597545294","26_16:0.011441427351692846;26_27:0.008376617819347565","26_16:660;26_27:660","true"
"27","360.64359292977247","41.13939894467132","4.797524591603525","-0.31968596136192556","0.019775390625","0.01611328125","0.0234375","1600","0.00032991948706735744","0","0.00032991948706735744","0.00032991948706735744","","","true"
"28","384.7375191524057","20.729597551813278","4.664357978865187","-0.3106841533411735","0.1298828125","0.19140625","0.068359375","1600","0.0006010777252596529","0","0.0006010777252596529","0.0006010777252596529","28_27:0.01863020802347809;28_35:0.015057063315354724","28_27:660;28_35:660","true"
"29","203.7503889043441","179.15048037297422","4.716984533142301","-0.30977802445004876","0.015869140625","0.017578125","0.01416015625","1600","0.0008699502075240777","0","0.0008699502075240777","0.0008699502075240777","29_28:0.03113462860314925;29_30:0.007081689777413025","29_28:660;29_30:660","true"
"30","205.46611070210776","32.65669209516503","4.797528898002615","-0.30977891218255116","0.012451171875","0.01123046875","0.013671875","1600","0.000122099255004246","0","0.000122099255004246","0.000122099255004246","30_31:0.004911742230553684;30_17:0.004852473431870452","30_31:660;30_17:660","true"
"31","274.47852757386624","451.40439495077914","4.9092912641187505","-0.30756583534654586","0.021728515625","0.01025390625","0.033203125","1600","0.00015968215517247545","0","0.00015968215517247545","0.00015968215517247545","31_32:0.0038608896961199735","31_32:660","true"
"32","281.5795967150926","291.6658599735984","5.009140765062391","-0.30520156901294854","0.01513671875","0.01171875","0.0185546875","1600","0.00020455115727847922","0","0.00020455115727847922","0.00020455115727847922","","","true"
"33","354.510504041841","31.01343019987505","4.797297501255327","-0.3085355870243786","0.037841796875","0.01904296875","0.056640625","1600","0.0006282587542041508","0","0.0006282587542041508","0.0006282587542041508","33_20:1","33_20:660","true"
"34","398.9116758916201","321.0240047394773","4.687152493043625","-0.31139369332021377","0.012939453125","0.01123046875","0.0146484375","1600","0.000249112175312982","0","0.000249112175312982","0.000249112175312982","34_43:0.006525769850777463;34_24:0.007837910018377692","34_43:660;34_24:660","true"
"35","567.3273020944446","25.23032022463439","4.885824207929742","-0.3078655696247972","0.021240234375","0.01611328125","0.0263671875","1600","0.0001893156114879767","0","0.0001893156114879767","0.0001893156114879767","","","true"
"36","297.4805417559196","238.94982806068003","4.948880980356355","-0.30596797313866086","0.00927734375","0.00927734375","0.00927734375","1600","0.00012925830958738772","0","0.00012925830958738772","0.00012925830958738772","36_51:0.005840217479085641;36_32:0.004762879301560163","36_51:660;36_32:660","true"
"37","165.7765147315755","16.749278216874213","4.534026184990172","-0.29177040681340605","0.11181640625","0.01123046875","0.21240234375","1600","0.007426721682358674","0","0.007426721682358674","0.007426721682358674","37_52:0.027350978414344473","37_52:660","true"
"38","42.68132459690272","160.14825059490812","4.715625040717387","-0.30986057752009377","0.4921875","0.9169921875","0.0673828125","1600","0.024846591065079637","0","0.024846591065079637","0.024846591065079637","38_39:1;38_37:1","38_39:660;38_37:660","true"
"39","255.94956565408972","18.49689967198895","4.624042610245822","-0.28585001719002234","0.255126953125","0.08447265625","0.42578125","1600","0.0007404804047522084","0","0.0007404804047522084","0.0007404804047522084","39_33:0.03920832539243391;39_40:0.023841275915074678","39_33:660;39_40:660","true"
"40","555.1633790129365","171.66207156980872","4.8160702290809985","-0.3091327061151583","0.022705078125","0.029296875","0.01611328125","1600","0.00010684882969149674","0","0.00010684882969149674","0.00010684882969149674","40_41:0.007883613137831924","40_41:660","true"
"41","345.6116488276507","298.5824172461388","4.678059200145318","-0.3108507756100702","0.162841796875","0.10302734375","0.22265625","1600","0.00015432930175281878","0","0.00015432930175281878","0.00015432930175281878","","","true"
"42","426.1074357750814","466.2735902652461","4.803098001101072","-0.3092111902397467","0.035400390625","0.02685546875","0.0439453125","1600","0.00010090348426658493","0","0.00010090348426658493","0.00010090348426658493","42_41:0.0075445446811445716;42_43:0.003715872389756014","42_41:660;42_43:660","true"
"43","359.36413038039933","294.7199148195311","4.922760498152528","-0.3078613125382503","0.008056640625","0.00537109375","0.0107421875","1600","0.0001462850214478833","0","0.0001462850214478833","0.0001462850214478833","","","true"
"44","201.26071260461012","9.010831067111308","4.8113704141254745","-0.30871971702871737","0.020263671875","0.01953125","0.02099609375","1600","0.00021611381071320537","0","0.00021611381071320537","0.00021611381071320537","44_43:0.008283930725460464","44_43:660","true"
"45","479.43865725282825","169.62860042059185","4.599898888866204","-0.31302116112013934","0.048828125","0.04345703125","0.05419921875","1600","0.0009874492147935372","0","0.0009874492147935372","0.0009874492147935372","45_44:0.016090048964492232","45_44:660","true"
"46","466.1041369985942","477.7475006418533","4.658546118293222","-0.31246692996630254","0.01904296875","0.00732421875","0.03076171875","1600","0.00016644679664766247","0","0.00016644679664766247","0.00016644679664766247","46_45:0.007123597320946418","46_45:660","true"
"47","311.6022237924277","20.447638859989585","4.799281744160269","-0.3101630942689849","0.012451171875","0.005859375","0.01904296875","1600","0.0001654376520488371","0","0.0001654376520488371","0.0001654376520488371","47_35:0.005313725775643485;47_46:0.004078884286356554","47_35:660;47_46:660","true"
"48","309.29697590199595","263.15327662439057","4.755282194845193","-0.30932393852768447","0.02001953125","0.01123046875","0.02880859375","1600","0.00012129052525417124","0","0.00012129052525417124","0.00012129052525417124","48_47:0.0060328899582568485;48_49:0.011295885330180333","48_47:660;48_49:660","true"
"49","153.40269768453686","64.22426826652169","4.958935741037505","-0.3073761509923654","0.006103515625","0.00439453125","0.0078125","1600","0.00020072938182910712","0","0.00020072938182910712","0.00020072938182910712","49_55:0.007412743591066806;49_50:0.008618839536477796","49_55:660;49_50:660","true"
"50","275.2088913484862","291.8303904755378","4.815665943523214","-0.3083436301833214","0.01513671875","0.017578125","0.0126953125","1600","0.00020726966517480236","0","0.00020726966517480236","0.00020726966517480236","","","true"
"51","379.0187977344696","546.341244651903","4.757171713909744","-0.30936293919581115","0.007568359375","0.00634765625","0.0087890625","1600","0.00016341949340794104","0","0.00016341949340794104","0.00016341949340794104","51_50:0.005217746481008312","51_50:660","true"
"52","306.5527715450351","170.17262158440303","4.7487541501879935","-0.3097333569449071","0.019775390625","0.00634765625","0.033203125","1600","0.00020672985603358514","0","0.00020672985603358514","0.00020672985603358514","","","true"
"53","279.9623492391345","182.37378337482812","4.935538974225113","-0.30614628774420294","0.058837890625","0.06201171875","0.0556640625","1600","0.00015095330315661112","0","0.00015095330315661112","0.00015095330315661112","53_41:0.010234186958646252;53_60:0.005061558672997235","53_41:660;53_60:660","true"
"54","394.4198891393822","337.0454760019423","4.746951060147836","-0.312103878074553","0.01416015625","0.00927734375","0.01904296875","1600","0.00012840943667368534","0","0.00012840943667368534","0.00012840943667368534","54_45:0.008034089099831887","54_45:660","true"
"55","291.74825916704333","332.24363670179895","4.885657829025677","-0.3074389359843561","0.0107421875","0.0068359375","0.0146484375","1600","0.0002495185484283995","0","0.0002495185484283995","0.0002495185484283995","55_68:0.007039658001549709","55_68:660","true"
"56","159.40283276682987","158.49910459197324","4.972117399460143","-0.3066984072593116","0.010009765625","0.00927734375","0.0107421875","1600","0.0003382069168778655","0","0.0003382069168778655","0.0003382069168778655","56_57:0.03327206644023717;56_52:0.017853881043592645","56_57:660;56_52:660","true"
"57","275.47736606485176","68.89813054876542","4.751851484226073","-0.30930834476051017","0.012939453125","0.01123046875","0.0146484375","1600","0.0009904533480618964","0","0.0009904533480618964","0.0009904533480618964","57_58:0.021759882544103604","57_58:660","true"
"58","290.71128873723137","213.51132832532045","4.8557366288593","-0.30870592613778314","0.0185546875","0.017578125","0.01953125","1600","0.00017677059283407548","0","0.00017677059283407548","0.00017677059283407548","","","true"
"59","366.6505767688641","230.24815135610402","4.701273967455297","-0.30987297232409344","0.00732421875","0.00830078125","0.00634765625","1600","0.00009720287478172608","0","0.00009720287478172608","0.00009720287478172608","59_58:0.01271130222673017;59_60:0.005853194587623511","59_58:660;59_60:660","true"
"60","379.94487106986685","149.5030323487456","4.84388762291832","-0.3086378714268149","0.012939453125","0.015625","0.01025390625","1600","0.0002940014525074259","0","0.0002940014525074259","0.0002940014525074259","60_61:0.004057685838041669","60_61:660","true"
"61","469.90604220064586","319.20574034404353","4.790369383106546","-0.3089933751290032","0.005615234375","0.0048828125","0.00634765625","1600","0.00013305398576400292","0","0.00013305398576400292","0.00013305398576400292","61_62:1","61_62:660","true"
"62","274.36461406285423","215.89297002177696","4.6825355692681665","-0.3107628812666313","0.2890625","0.2119140625","0.3662109375","1600","0.00009729135028903171","0","0.00009729135028903171","0.00009729135028903171","","","true"
"63","555.6892938581119","256.0387940934233","4.7615343454085455","-0.31004626423994786","0.00732421875","0.0068359375","0.0078125","1600","0.00011841055925920823","0","0.00011841055925920823","0.00011841055925920823","63_62:1;63_64:0.009126670742129916","63_62:660;63_64:660","true"
"64","111.73579892436386","141.18605990261585","4.977482307319957","-0.30711821418459645","0.01220703125","0.0107421875","0.013671875","1600","0.00044074593700623734","0","0.00044074593700623734","0.00044074593700623734","64_54:0.006517363062972792","64_54:660","true"
"65","380.02100776021814","176.51806489433113","4.801777278170432","-0.3079909228056931","0.00732421875","0.00439453125","0.01025390625","1600","0.00018027735432519853","0","0.00018027735432519853","0.00018027735432519853","65_64:0.010520358662297391","65_64:660","true"
"66","344.071267518467","231.73177653485965","4.871193607464033","-0.30852944230920076","0.005615234375","0.005859375","0.00537109375","1600","0.0002097689504117745","0","0.0002097689504117745","0.0002097689504117745","66_73:0.0038730352625706566;66_65:0.011381930701238607;66_67:0.013227851915842637","66_73:660;66_65:660;66_67:660","true"
"67","254.7012899951753","229.4913778193435","4.793057569357409","-0.30952495731223595","0.054443359375","0.07421875","0.03466796875","1600","0.00876249740111637","0","0.00876249740111637","0.00876249740111637","67_68:0.021962252988648734","67_68:660","true"
"68","235.82140218543879","243.45408679263326","5.045001617028521","-0.30500623650344527","0.02001953125","0.015625","0.0244140625","1600","0.0002509430173120146","0","0.0002509430173120146","0.0002509430173120146","","","true"
"69","130.75127320150574","152.850516576283","4.887820428443126","-0.30735510338085625","0.021240234375","0.02587890625","0.0166015625","1600","0.0012433941420724802","0","0.0012433941420724802","0.0012433941420724802","69_68:0.02786329872564347;69_70:0.016394158327464825","69_68:660;69_70:660","true"
"70","353.8749402385034","387.1648797722256","4.823189096225212","-0.30829680465134995","0.086181640625","0.041015625","0.13134765625","1600","0.00014102259288401852","0","0.00014102259288401852","0.00014102259288401852","","","true"
"71","417.73805475267835","302.68691713189327","4.752097908326767","-0.3097318915397958","0.0068359375","0.00439453125","0.00927734375","1600","0.0002689435500386554","0","0.0002689435500386554","0.0002689435500386554","71_58:0.01125462492302609","71_58:660","true"
"72","176.4109407521058","253.60257917845863","4.95702722418345","-0.3068859707445303","0.24267578125","0.1025390625","0.3828125","1600","0.0003289541065901885","0","0.0003289541065901885","0.0003289541065901885","72_81:1;72_62:1","72_81:660;72_62:660","true"
"73","422.7517821916393","355.21489381815746","4.7531291248700205","-0.30978559929392785","0.00537109375","0.0048828125","0.005859375","1600","0.00015947959568014328","0","0.00015947959568014328","0.00015947959568014328","73_85:0.004297772768405095","73_85:660","true"
"74","279.9256163102402","308.7644865342014","4.750716969352683","-0.309208739533841","0.003662109375","0.00390625","0.00341796875","1600","0.00012063089541039462","0","0.00012063089541039462","0.00012063089541039462","74_70:0.004981828426949886;74_89:0.003596016190244522","74_70:660;74_89:660","true"
"75","314.9132339806798","210.94521582887094","4.861800721575419","-0.3073400666893039","0.024169921875","0.02294921875","0.025390625","1600","0.00023597519734838","0","0.00023597519734838","0.00023597519734838","","","true"
"76","171.87061276131325","239.14655756037544","4.939488502534713","-0.30750720610086735","0.002685546875","0.0029296875","0.00244140625","1600","0.00020261319947075107","0","0.00020261319947075107","0.00020261319947075107","76_75:0.004585952663307913","76_75:660","true"
"77","319.5837959127626","225.26190150761357","4.82751434061854","-0.3097125098855301","0.004638671875","0.00732421875","0.001953125","1600","0.00013973821024340223","0","0.00013973821024340223","0.00013973821024340223","77_76:0.005023937054564387;77_71:0.01082403327083542","77_76:660;77_71:660","true"
